2025;1,5%
2024;1%
2023;5,7%
2022;8,1%
2021;1,9%
2020;-0,2%
2019;0,6%
2018;1,2%
2017;1,2%
2016;-0,1%
2015;0,1%
2014;0,2%
2013;1,2%
2012;3%
2011;2,7%
2010;1,5%
2009;0,8%
2008;3,3%
2007;1,8%
2006;2,1%
2005;1,9%
2004;2,2%
2003;2,7%
2002;2,5%
2001;2,7%
2000;2,5%
1999;1,7%
1998;2%
1997;2%
1996;4%
1995;5,3%
1994;4,1%
1993;4,7%
1992;5,3%
1991;6,2%
1990;6,5%
1989;6,3%
1988;5%
1987;4,8%
1986;5,8%
1985;9,2%
1984;10,8%
1983;14,7%
1982;16,5%
1981;17,8%
1980;21,2%
1979;14,8%
1978;12,1%
1977;17%
1976;16,8%
1975;17%
1974;19,1%
1973;10,8%
1972;5,7%
1971;4,8%
1970;5%
1969;2,6%
1968;1,4%
1967;3,7%
1966;2,3%
1965;4,6%
1964;5,9%
1963;7,5%
1962;4,7%
1961;2,1%
1960;2,3%
1959;-0,4%
1958;2,8%
1957;1,3%
1956;3,4%
1955;2,3%

Fonte: https://www.rivaluta.it/serie-inflazione-media.asp

