Data di PagamentoImportoNAVDist %
09-02-2023 $0.157239 $15.88 0.99%
09-03-2023 $0.158378 $15.59 1.02%
06-04-2023 $0.159698 $16.10 0.99%
10-05-2023 $0.163869 $16.31 1.00%
08-06-2023 $0.151737 $16.60 0.91%
06-07-2023 $0.165726 $16.42 1.01%
10-08-2023 $0.167345 $16.60 1.01%
07-09-2023 $0.160658 $16.22 0.99%
05-10-2023 $0.160355 $15.61 1.02%
09-11-2023 $0.155616 $15.73 0.99%
07-12-2023 $0.146755 $15.86 0.93%
18-01-2024 $0.149268 $16.23 0.92%
09-02-2024 $0.164254 $16.37 1.00%
15-03-2024 $0.165491 $16.55 1.00%
04-04-2024 $0.165375 $16.66 0.99%
10-05-2024 $0.160347 $16.24 0.99%
07-06-2024 $0.144632 $16.24 0.89%
15-07-2024 $0.150319 $16.64 0.90%
09-08-2024 $0.165203 $16.07 1.03%
06-09-2024 $0.166859 $16.53 1.01%
11-10-2024 $0.168926 $16.80 1.01%
08-11-2024 $0.170720 $16.74 1.02%
09-12-2024 $0.170384 $17.17 0.99%
24-01-2025 $0.176976 $17.77 1.00%
07-02-2025 $0.178509 $17.78 1.00%
14-03-2025 $0.150172 $16.53 0.91%
11-04-2025 $0.162237 $15.45 1.05%
16-05-2025 $0.152934 $15.67 0.98%
06-06-2025 $0.156381 $15.55 1.01%
11-07-2025 $0.156621 $15.83 0.99%
08-08-2025 $0.149777 $15.73 0.95%
05-09-2025 $0.150960 $15.73 0.96%
10-10-2025 $0.155605 $15.98 0.97%
07-11-2025 $0.162499 $16.34 0.99%
