Data_Pagam	Importo
02-02-2023	€0.14
02-03-2023	€0.15
30-03-2023	€0.15
04-05-2023	€0.15
01-06-2023	€0.14
29-06-2023	€0.15
03-08-2023	€0.15
31-08-2023	€0.15
28-09-2023	€0.15
02-11-2023	€0.15
30-11-2023	€0.13
11-01-2024	€0.14
01-02-2024	€0.15
07-03-2024	€0.15
27-03-2024	€0.15
02-05-2024	€0.15
30-05-2024	€0.13
05-07-2024	€0.14
01-08-2024	€0.15
30-08-2024	€0.15
03-10-2024	€0.15
31-10-2024	€0.16
29-11-2024	€0.16
16-01-2025	€0.17
30-01-2025	€0.17
06-03-2025	€0.14
03-04-2025	€0.15
08-05-2025	€0.14
30-05-2025	€0.14
03-07-2025	€0.13
01-08-2025	€0.13
28-08-2025	€0.13
02-10-2025	€0.13
30-10-2025	€0.14
04-12-2025	€0.14
08-01-2026	€0.14
29-01-2026	€0.14
05-03-2026	€0.14
09-04-2026	€0.14
07-05-2026	€0.14
04-06-2026	€0.14
09-07-2026	€0.15
