Data_Pagam	Importo
03-08-2023	€0.09
31-08-2023	€0.12
28-09-2023	€0.10
02-11-2023	€0.13
30-11-2023	€0.08
11-01-2024	€0.09
01-02-2024	€0.10
07-03-2024	€0.09
02-05-2024	€0.11
05-07-2024	€0.09
01-08-2024	€0.10
03-10-2024	€0.11
31-10-2024	€0.13
29-11-2024	€0.13
16-01-2025	€0.15
30-01-2025	€0.13
06-03-2025	€0.10
03-04-2025	€0.14
8-05-2025	€0.13
30-05-2025	€0.13
03-07-2025	€0.12
01-08-2025	€0.10
02-10-2025	€0.10
04-12-2025	€0.13
08-01-2026	€0.10
05-03-2026	€0.11
10-04-2026	€0.13
07-05-2026	€0.11
08-05-2026	€0.11
