Data_Pagam	Importo   Nav    Dist%
07-09-2023 $0.129899 $14.78 0.88
05-10-2023 $0.110297 $14.27 0.77
09-11-2023 $0.140877 $14.20 0.99
07-12-2023 $0.091001 $14.33 0.64
18-01-2024 $0.095610 $14.62 0.65
09-02-2024 $0.107084 $14.73 0.73
15-03-2024 $0.102974 $14.91 0.69
04-04-2024 $0.106803 $15.06 0.71
10-05-2024 $0.114097 $14.78 0.77
07-06-2024 $0.094529 $14.74 0.64
15-07-2024 $0.092711 $15.13 0.61
09-08-2024 $0.105270 $14.91 0.71
06-09-2024 $0.147261 $15.24 0.97
11-10-2024 $0.125020 $15.34 0.81
08-11-2024 $0.139750 $15.17 0.92
09-12-2024 $0.132677 $15.65 0.85
24-01-2025 $0.159081 $16.00 0.99
07-02-2025 $0.136777 $16.01 0.85
14-03-2025 $0.104404 $15.26 0.68
11-04-2025 $0.150580 $14.44 1.04
16-05-2025 $0.142216 $14.54 0.98
06-06-2025 $0.146321 $14.50 1.01
11-07-2025 $0.142691 $14.80 0.96
08-08-2025 $0.115337 $14.75 0.78
05-09-2025 $0.115977 $14.82 0.78
10-10-2025 $0.113299 $14.97 0.76
07-11-2025 $0.150943 $15.14 1.00
